en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
double click,双击,點擊兩下,noun,,,,,,,,,,,,,,,,,,,,,,
double-click,双击,點擊兩下,noun,,,,,,,,,,,,,,,,,,,,,,
down arrow key,向下键,向下鍵,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
download,下载,下載,verb,,,,,,,,,,,,,,,,,,,,,,
downtime,停机时间,停機時間,noun,,,,,,,,,,,,,,,,,,,,,,
draft,草稿,草稿,noun,,,,,,,,,,,,,,,,,,,,,,
drag,拖曳,拖曳,noun,,,,,,,,,,,,,,,,,,,,,,
drag and drop,拖放,拖放,noun,,,,,,,,,,,,,,,,,,,,,,
dropin,强化插件,強化外掛,noun,,,,,,,,,,,,,,,,,,,,,,
drop-in,强化插件,強化外掛,noun,,,,,,,,,,,,,,,,,,,,,,
Dubai,迪拜,杜拜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dublin,都柏林,都柏林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
DumontDUrville,杜蒙·杜维尔,迪蒙·迪維爾站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dushanbe,杜尚别,杜尚貝,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dutch,荷兰语,荷蘭文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dutch (Belgium),荷兰语（比利时）,荷蘭文 (比利時),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dutch (Formal),荷兰语（正式）,荷蘭文 (正式),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dzongkha,宗卡语,宗卡文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
E.g.,例如,範例,noun,,,,,,,,,,,,,,,,,,,,,,
Earthly Branch,地支,地支,noun,,,,,,,,,,,,,,,,,,,,,,
East Caribbean dollar,东加勒比元,東加勒比元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Easter,复活节岛,復活節島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
eBay,eBay,eBay,noun,,,,,,,,,,,,,,,,,,,,,,
eCommerce,电子商务,電子商務,noun,,,,,,,,,,,,,,,,,,,,,,
edit,编辑,編輯,verb,,,,,,,,,,,,,,,,,,,,,,
editor,编辑,編輯,noun,适用于 WordPress 默认用户角色，同时也适用于其他状况,,,,,,,,,,,,,,,,,,,,,
editor,编辑,編輯器,noun,,,,,,,,,,,,,,,,,,,,,,
editor style,编辑器样式,編輯器樣式,noun,,,,,,,,,,,,,,,,,,,,,,
Edmonton,埃德蒙顿,艾德蒙頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
education,教育,教育,noun,,,,,,,,,,,,,,,,,,,,,,
Efate,埃法特,愛發提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Egyptian pound,埃及镑,埃及鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Eirunepe,埃鲁内佩,埃魯內佩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
El Aaiun,埃尔阿尤恩,阿尤恩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
El Salvador,萨尔瓦多,薩爾瓦多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
element,元素,元素,noun,,,,,,,,,,,,,,,,,,,,,,
Emacs,Emacs,Emacs,noun,纯文本编辑器名称。,,,,,,,,,,,,,,,,,,,,,
email,邮箱地址,電子郵件地址,noun,有时候开发者会将 Email Address 写为 Email。请注意，Email 该译为「电子邮件地址」时，就译为「电子邮件地址」,,,,,,,,,,,,,,,,,,,,,
email,电子邮件,電子郵件,noun,,,,,,,,,,,,,,,,,,,,,,
email address,邮箱地址,電子郵件地址,noun,,,,,,,,,,,,,,,,,,,,,,
embed block,嵌入内容区块,嵌入內容區塊,noun,适用于区块编辑器、全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
Emoji,Emoji 表情符号,Emoji 表情符號,noun,,,,,,,,,,,,,,,,,,,,,,
emoticon,表情符号,表情符號,noun,,,,,,,,,,,,,,,,,,,,,,
empty string,空字符串,空白字串,noun,,,,,,,,,,,,,,,,,,,,,,
empty value,空值,空值,noun,,,,,,,,,,,,,,,,,,,,,,
enable,启用,啟用,verb,,,,,,,,,,,,,,,,,,,,,,
encode,编码,編碼,verb,,,,,,,,,,,,,,,,,,,,,,
encoder,编码器,編碼器,noun,,,,,,,,,,,,,,,,,,,,,,
encrypt,加密,加密,verb,,,,,,,,,,,,,,,,,,,,,,
encryption,加密,加密,noun,,,,,,,,,,,,,,,,,,,,,,
encryption,加密方式,加密方式,noun,,,,,,,,,,,,,,,,,,,,,,
Enderbury,恩德伯里岛,恩德伯里島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
English,英语,英文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (Australia),英语（澳大利亚）,英文 (澳大利亞),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (Canada),英语（加拿大）,英文 (加拿大),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (New Zealand),英语（新西兰）,英文 (紐西蘭),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (South Africa),英语（南非）,英文 (南非),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (UK),英语（英国）,英文 (英國),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (United States),美国英语）,英文 (美國),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
enlarge,放大,放大,verb,,,,,,,,,,,,,,,,,,,,,,
Ensenada,恩塞纳达,恩瑟納達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Enter,Enter 键,Enter 鍵,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
enter,输入,輸入,verb,,,,,,,,,,,,,,,,,,,,,,
enumerate,枚举,列舉,verb,,,,,,,,,,,,,,,,,,,,,,
enumeration,枚举,列舉,noun,,,,,,,,,,,,,,,,,,,,,,
Eritrean nakfa,厄立特里亚纳克法,厄利垂亞奈克法,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
error,错误,錯誤,noun,,,,,,,,,,,,,,,,,,,,,,
error code,错误码,錯誤代碼,noun,,,,,,,,,,,,,,,,,,,,,,
error message,错误信息,錯誤訊息,noun,,,,,,,,,,,,,,,,,,,,,,
Esperanto,世界语,世界文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Estonian,爱沙尼亚语,愛沙尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Etc,其他,其他,noun,,,,,,,,,,,,,,,,,,,,,,
Ethiopian birr,埃塞俄比亚比尔,衣索比亞比爾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Ethiopic,埃塞俄比亚,衣索比亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Eucla,尤克拉,尤克拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Euro,欧元,歐元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Europe,欧洲,歐洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
event,事件,事件,noun,,,,,,,,,,,,,,,,,,,,,,
Ewe,埃维语,埃維文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
excerpt,内容摘要,內容摘要,noun,,,,,,,,,,,,,,,,,,,,,,
exclamation point,感叹号,驚嘆號,noun,,,,,,,,,,,,,,,,,,,,,,
existing,现有,現有,adjective,,,,,,,,,,,,,,,,,,,,,,
expand,展开,展開,verb,,,,,,,,,,,,,,,,,,,,,,
export,导出,匯出,verb,,,,,,,,,,,,,,,,,,,,,,
export as,导出为,匯出為,verb,,,,,,,,,,,,,,,,,,,,,,
expression,表达式,運算式,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
extension,扩展功能,擴充功能,noun,,,,,,,,,,,,,,,,,,,,,,
extension,扩展名,副檔名,noun,,,,,,,,,,,,,,,,,,,,,,
Facebook,Facebook,Facebook,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Facebook Messenger,Facebook Messenger,Facebook Messenger,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
Faeroe,法罗群岛,法羅群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fakaofo,法考福,法克奧佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,福克兰群岛,福克蘭群島,noun,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands pound,福克兰群岛镑,福克蘭群島鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
fallback,回退,後援,noun,,,,,,,,,,,,,,,,,,,,,,
fallback chain,回退链,後援鏈結,noun,,,,,,,,,,,,,,,,,,,,,,
false positive,误判,誤判,noun,,,,,,,,,,,,,,,,,,,,,,
Famagusta,法马古斯塔,法馬古斯塔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
FAQ,常问问题,常見問題集,noun,,,,,,,,,,,,,,,,,,,,,,
Faroe,法罗群岛,法羅群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Faroese,法罗语,法羅文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
fatal,致命,嚴重,adjective,,,,,,,,,,,,,,,,,,,,,,
fatal error,致命错误,嚴重錯誤,noun,,,,,,,,,,,,,,,,,,,,,,
favicon,图标,網站圖示,noun,,,,,,,,,,,,,,,,,,,,,,
favorites,收藏夹,我的最愛,noun,,,,,,,,,,,,,,,,,,,,,,
featured,精选,精選,adjective,,,,,,,,,,,,,,,,,,,,,,
featured image,特色图片,精選圖片,noun,,,,,,,,,,,,,,,,,,,,,,
featured post,特色文章,精選內容,noun,,,,,,,,,,,,,,,,,,,,,,
feed,feed,資訊提供,noun,,,,,,,,,,,,,,,,,,,,,,
feedback,反馈,意見反應,noun,,,,,,,,,,,,,,,,,,,,,,
field,字段,欄位,noun,,,,,,,,,,,,,,,,,,,,,,
field data,字段数据,欄位資料,noun,,,,,,,,,,,,,,,,,,,,,,
Fiji,斐济,斐濟,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fijian,斐济语,斐濟文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Fijian dollar,斐济元,斐濟元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
file,文件,檔案,noun,,,,,,,,,,,,,,,,,,,,,,
File Transfer Protocol,文件传输协议,檔案傳輸通訊協定,noun,,,,,,,,,,,,,,,,,,,,,,
filename,文件名,檔案名稱,noun,,,,,,,,,,,,,,,,,,,,,,
filter,筛选器,篩選器,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
filter,滤镜,濾鏡,noun,适用于多媒体处理,,,,,,,,,,,,,,,,,,,,,
filter,筛选,篩選,verb,,,,,,,,,,,,,,,,,,,,,,
filter,筛选条件,篩選條件,noun,,,,,,,,,,,,,,,,,,,,,,
filter hook,过滤钩子,篩選器勾點,noun,适用于区块编辑器、全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
Finnish,芬兰语,芬蘭文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
firewall,防火墙,防火牆,noun,,,,,,,,,,,,,,,,,,,,,,
flag,旗帜,標幟,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
flag,旗标,旗標,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
flag,旗帜,標幟,verb,,,,,,,,,,,,,,,,,,,,,,
flag,旗帜,標示,verb,,,,,,,,,,,,,,,,,,,,,,
flat,扁平,平面,noun,,,,,,,,,,,,,,,,,,,,,,
flat,扁平化,單層式,adjective,,,,,,,,,,,,,,,,,,,,,,
flip horizontal,水平翻转,水平翻轉,verb,,,,,,,,,,,,,,,,,,,,,,
flip vertical,垂直翻转,垂直翻轉,verb,,,,,,,,,,,,,,,,,,,,,,
focal point,焦点,焦點,noun,,,,,,,,,,,,,,,,,,,,,,
fold,折叠,折疊,verb,,,,,,,,,,,,,,,,,,,,,,
folder,文件夹,資料夾,noun,,,,,,,,,,,,,,,,,,,,,,
font,字体,字型,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font collection,字体集,字型集,noun,,,,,,,,,,,,,,,,,,,,,,
font face,字体,字型定義,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font family,字体系列,字型系列,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font name,字体名称,字型名稱,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font size,字体大小,字型大小,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font variant,字体变体,字型變體,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font weight,字体粗细,字型粗細,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
footer,页脚,頁尾,noun,,,,,,,,,,,,,,,,,,,,,,
footnote,注脚,註腳,noun,,,,,,,,,,,,,,,,,,,,,,
foreground,前景,前景,noun,,,,,,,,,,,,,,,,,,,,,,
form,表单,表單,noun,,,,,,,,,,,,,,,,,,,,,,
Fort Nelson,纳尔逊堡,納爾遜堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fort Wayne,韦恩堡,韋恩堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fortaleza,福塔雷萨,福塔力沙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
forum,论坛,論壇,noun,,,,,,,,,,,,,,,,,,,,,,
FQDN,FQDN,FQDN,noun,FQDN 是 Fully Qualified Domain Name (完整域名) 的缩写,,,,,,,,,,,,,,,,,,,,,
framework,框架,架構,noun,,,,,,,,,,,,,,,,,,,,,,
Freetown,弗里敦,自由城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
French,法语,法文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
French (Belgium),法语（比利时）,法文 (比利時),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
French (Canada),法语（加拿大）,法文 (加拿大),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
French (France),法语（法国）,法文 (法國),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
frequently asked questions,常见问题集,常見問題集,noun,,,,,,,,,,,,,,,,,,,,,,
Frisian,弗里斯兰语,夫里斯蘭文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Friulian,弗留利语,佛裡烏裡文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
front end,前端,前端,noun,,,,,,,,,,,,,,,,,,,,,,
front-end,前端,前端,noun,,,,,,,,,,,,,,,,,,,,,,
FTP,FTP,FTP,noun,适用于通讯协议，FTP 是 File Transfer Protocol (文件传输协议) 的缩写,,,,,,,,,,,,,,,,,,,,,
Fulah,富拉赫语,富拉赫文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
full site editing,全站编辑,全站編輯,noun,适用于区块编辑器、全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
Fully Qualified Domain Name,全限定域名,完整網域名稱,noun,,,,,,,,,,,,,,,,,,,,,,
Funafuti,富纳富提,富納富提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
function,函数,函式,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
funding,资金,資金,noun,,,,,,,,,,,,,,,,,,,,,,
funnel,漏斗,漏斗,noun,,,,,,,,,,,,,,,,,,,,,,
Gaborone,哈博罗内,嘉柏隆里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gaelic,盖尔语,蓋爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Galapagos,加拉帕戈斯群岛,加拉巴哥群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Galician,加利西亚语,加里西亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Gallery,图库,圖庫,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
gallery,画廊,圖庫,noun,,,,,,,,,,,,,,,,,,,,,,
Gambian dalasi,冈比亚达拉西,甘比亞達拉西,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Gambier,甘比尔群岛,甘比爾群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ganda,干达语,干達文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
gateway,网关,閘道,noun,,,,,,,,,,,,,,,,,,,,,,
Gaza,加沙,加薩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
GDPR,GDPR,GDPR,noun,GDPR 是 General Data Protection Regulation (一般数据保护规定) 的缩写,,,,,,,,,,,,,,,,,,,,,
General Data Protection Regulation,一般数据保护条例,一般資料保護規定,noun,,,,,,,,,,,,,,,,,,,,,,
General Public License,通用公共许可证,通用公眾授權,noun,,,,,,,,,,,,,,,,,,,,,,
generative,生成式,生成式,adjective,,,,,,,,,,,,,,,,,,,,,,
generative AI,生成式 AI,生成式 AI,noun,,,,,,,,,,,,,,,,,,,,,,
generative pre-trained transformer,生成式预先训练转换器,生成式預先訓練轉換器,noun,,,,,,,,,,,,,,,,,,,,,,
generator,生成器,產生器,noun,,,,,,,,,,,,,,,,,,,,,,
Generic top-level domain,通用顶级域名,通用頂層網域,noun,,,,,,,,,,,,,,,,,,,,,,
Georgian,格鲁吉亚语,喬治亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Georgian lari,格鲁吉亚拉里,喬治亞拉里,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
German,德语,德文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
German (Austria),德语（奥地利）,德文 (奧地利),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
German (Formal),德语（正式）,德文 (正式),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
German (Switzerland),德语（瑞士）,德文 (瑞士),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
"German (Switzerland, Informal)",德语（瑞士，非正式）,德文 (瑞士，非正式),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ghana cedi,加纳塞地,迦納塞地,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Gibraltar,直布罗陀,直布羅陀,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gibraltar pound,直布罗陀镑,直布羅陀鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
GitHub,GitHub,GitHub,noun,源代码存放库服务名称,,,,,,,,,,,,,,,,,,,,,
GitLab,GitLab,GitLab,noun,源代码存放库服务名称,,,,,,,,,,,,,,,,,,,,,
Glace Bay,格莱斯湾,格萊斯貝,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
GMT,格林威治标准时间 (GMT),格林威治標準時間 (GMT),noun,,,,,,,,,,,,,,,,,,,,,,
GMT+0,GMT+0,GMT+0,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+1,GMT+1,GMT+1,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+10,GMT+10,GMT+10,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+11,GMT+11,GMT+11,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+12,GMT+12,GMT+12,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+2,GMT+2,GMT+2,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+3,GMT+3,GMT+3,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+4,GMT+4,GMT+4,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+5,GMT+5,GMT+5,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+6,GMT+6,GMT+6,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+7,GMT+7,GMT+7,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+8,GMT+8,GMT+8,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+9,GMT+9,GMT+9,noun,,,,,,,,,,,,,,,,,,,,,,
GMT0,GMT0,GMT0,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-0,GMT-0,GMT-0,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-1,GMT-1,GMT-1,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-10,GMT-10,GMT-10,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-11,GMT-11,GMT-11,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-12,GMT-12,GMT-12,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-13,GMT-13,GMT-13,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-14,GMT-14,GMT-14,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-2,GMT-2,GMT-2,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-3,GMT-3,GMT-3,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-4,GMT-4,GMT-4,noun,,,,,,,,,,,,,,,,,,,,,, 
GMT-5,GMT-5,GMT-5,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-6,GMT-6,GMT-6,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-7,GMT-7,GMT-7,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-8,GMT-8,GMT-8,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-9,GMT-9,GMT-9,noun,,,,,,,,,,,,,,,,,,,,,,
GNU General Public License,GNU 通用公共许可证,GNU 通用公眾授權,noun,,,,,,,,,,,,,,,,,,,,,,
go back,返回,返回,verb,,,,,,,,,,,,,,,,,,,,,,
Godthab,戈特霍布,哥特哈布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Google,Google,Google,noun,,,,,,,,,,,,,,,,,,,,,,
Google Analytics,Google 分析,Google 分析,noun,Google 中国官方译文，但是不建议使用,,,,,,,,,,,,,,,,,,,,,
Google Analytics,Google Analytics,Google Analytics,noun,建议保留服务英文名称,,,,,,,,,,,,,,,,,,,,,
Google Docs,Google 文档,Google Docs,noun,,,,,,,,,,,,,,,,,,,,,,
Google Drive,Google 云端硬盘,Google 雲端硬碟,noun,,,,,,,,,,,,,,,,,,,,,,
Google Fonts,Google 字体,Google Fonts,noun,,,,,,,,,,,,,,,,,,,,,,
Google Fonts,Google Fonts 网页字体,Google Fonts 網頁字型,noun,,,,,,,,,,,,,,,,,,,,,,
Google Maps,Google 地图,Google 地圖,noun,,,,,,,,,,,,,,,,,,,,,,
Google My Business,Google 我的商家,Google 我的商家,noun,,,,,,,,,,,,,,,,,,,,,,
Google Photos,Google 图库,Google 相簿,noun,,,,,,,,,,,,,,,,,,,,,,
Google Plus,Google+,Google+,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Google Sheets,Google 表格,Google Sheets,noun,,,,,,,,,,,,,,,,,,,,,,
Google Slides,Google 幻灯片,Google Slides,noun,,,,,,,,,,,,,,,,,,,,,,
Google+,Google+,Google+,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Goolge Business Profiles,Google 商家资料,Google 商家檔案,noun,,,,,,,,,,,,,,,,,,,,,,
Goose Bay,古斯湾,古斯貝,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
GPL,GPL,GPL,noun,GPL 是 GNU General Public License (GNU 通用公众授权) 的缩写,,,,,,,,,,,,,,,,,,,,,
Grand Turk,大特克岛,格蘭土克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
grant,群组,授予,verb,,,,,,,,,,,,,,,,,,,,,,
Gravatar,Gravatar,Gravatar,noun,个人头像服务名称,,,,,,,,,,,,,,,,,,,,,
Greek,希腊语,希臘文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Greenwich,格林威治,格林威治,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Grenada,格林纳达,格瑞那達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
grid view,网格视图,格狀檢視,noun,适用于检视方式名称,,,,,,,,,,,,,,,,,,,,,
group,群组,群組,noun,,,,,,,,,,,,,,,,,,,,,,
group,组合,組成群組,verb,,,,,,,,,,,,,,,,,,,,,,
gTLD,gTLD,gTLD,noun,Generic top-level domain (通用顶级域) 的缩写,,,,,,,,,,,,,,,,,,,,,
gTLD,通用顶级域名,通用頂層網域,noun,Generic top-level domain (通用顶级域) 的缩写,,,,,,,,,,,,,,,,,,,,,
Guadalcanal,瓜达尔卡纳尔岛,瓜達卡那島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,瓜德罗普岛,瓜地洛普,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guam,关岛,關島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guarani,瓜拉尼语,瓜拉尼文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Guatemala,危地马拉,瓜地馬拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guatemalan quetzal,危地马拉格查尔,瓜地馬拉格查爾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Guayaquil,瓜亚基尔,圭亞基爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guernsey,根西岛,根西島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guernsey pound,根西岛镑,根西島鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
guest,访客,訪客,noun,,,,,,,,,,,,,,,,,,,,,,
Guinean franc,几内亚法郎,幾內亞法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Gujarati,古吉拉特语,古吉拉特文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Gurmukhi,果鲁穆奇文,果魯穆奇文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Gutenberg,Gutenberg,Gutenberg,noun,Gutenberg 插件是 WordPress 5.0 之后内建的区块编辑器 (Block Editor) 的前期测试版本。请注意，Gutenberg 插件只有「Gutenberg」这个名称，没有「古腾堡」这种中译名称。此外，大多数开发者提及的 Gutenberg，反倒不是单指 Gutenberg 插件，而是泛指「区块编辑器」。,,,,,,,,,,,,,,,,,,,,,
Guyana,圭亚那,蓋亞那,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guyanese dollar,圭亚那元,蓋亞那元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Haitian,海地语,海地克裏奧爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Haitian gourde,海地古德,海地古德,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Halifax,哈利法克斯,哈利法克斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
handle,句柄,控點,noun,,,,,,,,,,,,,,,,,,,,,,
Hangul,韩文,韓文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
