en,zh-cn,pos,description,,,,,,,,,,,,,,,,,,,,,
Casablanca,卡萨布兰卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
cascading style sheets,层叠样式表,noun,,,,,,,,,,,,,,,,,,,,,,
case sensitive,区分大小写,noun,,,,,,,,,,,,,,,,,,,,,,
case-sensitive,区分大小写,noun,,,,,,,,,,,,,,,,,,,,,,
Casey,开西站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Catalan,加泰罗尼亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Catamarca,卡塔马卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
category,分类,noun,,,,,,,,,,,,,,,,,,,,,,
category base,分类目录起点,noun,,,,,,,,,,,,,,,,,,,,,,
caution,警告,noun,,,,,,,,,,,,,,,,,,,,,,
Cayenne,开云,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cayman,开曼群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cayman Islands dollar,开曼群岛元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
ccTLD,ccTLD,noun,Country code top-level-domain (国家/地区代码顶级域) 的缩写,,,,,,,,,,,,,,,,,,,,,
ccTLD,国家/地区代码顶级域名,noun,Country code top-level-domain (国家/地区代码顶级域) 的缩写,,,,,,,,,,,,,,,,,,,,,
CDN,CDN,noun,,,,,,,,,,,,,,,,,,,,,,
Cebuano,宿务语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
cell,保存格,noun,,,,,,,,,,,,,,,,,,,,,,
Center,中心市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Central African CFA franc,中非法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Central Kurdish,中库尔德语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
centralize,集中式,verb,,,,,,,,,,,,,,,,,,,,,,
centralized,集中式,adjective,,,,,,,,,,,,,,,,,,,,,,
certificate,证书,noun,,,,,,,,,,,,,,,,,,,,,,
Ceuta,休达,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
CFP franc,太平洋法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Chagos,查戈斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
chain,链结,noun,,,,,,,,,,,,,,,,,,,,,,
Chamorro,查莫罗语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
changelog,变更日志,noun,,,,,,,,,,,,,,,,,,,,,,
channel,频道,noun,,,,,,,,,,,,,,,,,,,,,,
character,字符,noun,,,,,,,,,,,,,,,,,,,,,,
character set,字符集,noun,,,,,,,,,,,,,,,,,,,,,,
chart,图表,noun,,,,,,,,,,,,,,,,,,,,,,
Chat,聊天,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
Chatham,查塔姆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
cheat sheet,备忘单,noun,,,,,,,,,,,,,,,,,,,,,,
Cheatin' uh?,抱歉，此操作无法进行。,verb,,,,,,,,,,,,,,,,,,,,,,
Cheatin&#8217; uh?,抱歉，此操作无法进行。,verb,,,,,,,,,,,,,,,,,,,,,,
Cheating uh?,抱歉，此操作无法进行。,verb,,,,,,,,,,,,,,,,,,,,,,
Chechen,车臣语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
check,检查,verb,操作对象为复选框 (Checkbox) 时使用,,,,,,,,,,,,,,,,,,,,,
checkbox,复选框,noun,,,,,,,,,,,,,,,,,,,,,,
checker,检查员,noun,,,,,,,,,,,,,,,,,,,,,,
checklist,清单,noun,,,,,,,,,,,,,,,,,,,,,,
checkout,签出,verb,适用于 SVN、Git 或 GitHub,,,,,,,,,,,,,,,,,,,,,
checkout,结帐,noun,,,,,,,,,,,,,,,,,,,,,,
Chicago,芝加哥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chichewa,齐切瓦语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chihuahua,奇瓦瓦州,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
child theme,子主题,noun,,,,,,,,,,,,,,,,,,,,,,
Chilean peso,智利比绍,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Chinese,中文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese (China),中文 (中国),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese (Hong Kong),中文 (香港),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese (Taiwan),中文 (中国),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chinese yuan,人民币,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Chisinau,基希讷乌,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chita,赤塔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Choibalsan,乔巴山,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chongqing,重庆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
choose,选择,verb,,,,,,,,,,,,,,,,,,,,,,
Christmas,圣诞岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chungking,重庆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Church Slavic,古教会斯拉夫语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Chuuk,楚克岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chuvash,楚瓦什语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
circle,圆圈,noun,适用于形状,,,,,,,,,,,,,,,,,,,,,
citation,引文,noun,,,,,,,,,,,,,,,,,,,,,,
CJK Decimal,中日韩文小数,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
CJK Ideographic,中日韩表意字符,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
classic,旧式,adjective,,,,,,,,,,,,,,,,,,,,,,
classic,经典,adjective,,,,,,,,,,,,,,,,,,,,,,
classic editor,经典编辑器,noun,,,,,,,,,,,,,,,,,,,,,,
click,点击,verb,操作键盘、鼠标及屏幕,,,,,,,,,,,,,,,,,,,,,
client,客户端,noun,,,,,,,,,,,,,,,,,,,,,,
client,客户,noun,,,,,,,,,,,,,,,,,,,,,,
clipboard,剪贴板,noun,,,,,,,,,,,,,,,,,,,,,,
Clubhouse,Clubhouse,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
CMS,CMS,noun,一般来说，CMS 会是 Content Management System (内容管理系统) 的缩写,,,,,,,,,,,,,,,,,,,,,
Cocos,科科斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Code,代码,noun,,,,,,,,,,,,,,,,,,,,,,
code editor,代码编辑器,noun,,,,,,,,,,,,,,,,,,,,,,
code snippet,代码片段,noun,,,,,,,,,,,,,,,,,,,,,,
codebase,代码基底,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
collaborate,协同合作,verb,,,,,,,,,,,,,,,,,,,,,,
collaboration,协同合作,noun,,,,,,,,,,,,,,,,,,,,,,
collapse,收缩,verb,,,,,,,,,,,,,,,,,,,,,,
collation,校对,noun,适用于程序开发及数据库,,,,,,,,,,,,,,,,,,,,,
Colombian peso,哥伦比亚比绍,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Colombo,科伦坡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
colon,冒号,noun,适用于标点符号 :,,,,,,,,,,,,,,,,,,,,,
color,颜色,noun,,,,,,,,,,,,,,,,,,,,,,
color scheme,配色方案,noun,,,,,,,,,,,,,,,,,,,,,,
column,行栏,noun,,,,,,,,,,,,,,,,,,,,,,
column,数据行,noun,,,,,,,,,,,,,,,,,,,,,,
comfirmation,确认,noun,,,,,,,,,,,,,,,,,,,,,,
comma,逗号,noun,"适用于标点符号 ,",,,,,,,,,,,,,,,,,,,,,
comma,逗号,noun,,,,,,,,,,,,,,,,,,,,,,
comma separated values,逗号分隔值,noun,文件格式的一种，缩写为 CSV,,,,,,,,,,,,,,,,,,,,,
command,命令,noun,,,,,,,,,,,,,,,,,,,,,,
command line,命令行,noun,,,,,,,,,,,,,,,,,,,,,,
command prompt,命令提示符,noun,,,,,,,,,,,,,,,,,,,,,,
comment,评论,noun,,,,,,,,,,,,,,,,,,,,,,
ComodRivadavia,科莫德里瓦达维亚,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Comorian franc,科摩罗法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Comoro,科摩罗,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
compatibility,兼容性,noun,,,,,,,,,,,,,,,,,,,,,,
compile,编译,verb,,,,,,,,,,,,,,,,,,,,,,
compliance,合规性,noun,,,,,,,,,,,,,,,,,,,,,,
component,组件,noun,,,,,,,,,,,,,,,,,,,,,,
Conakry,科纳克里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
config file,配置文件,noun,,,,,,,,,,,,,,,,,,,,,,
configure,配置,verb,,,,,,,,,,,,,,,,,,,,,,
confirm,确认,verb,,,,,,,,,,,,,,,,,,,,,,
Congolese franc,刚果法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
connection type,连接类型,noun,,,,,,,,,,,,,,,,,,,,,,
constant,常数,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
constructor,构造函数,noun,,,,,,,,,,,,,,,,,,,,,,
contact form,联系表单,noun,,,,,,,,,,,,,,,,,,,,,,
container,容器,noun,,,,,,,,,,,,,,,,,,,,,,
content,内容,noun,,,,,,,,,,,,,,,,,,,,,,
content delivery network,内容传送网络,noun,,,,,,,,,,,,,,,,,,,,,,
Content Management System,内容管理系统,noun,,,,,,,,,,,,,,,,,,,,,,
context menu,操作菜单,noun,,,,,,,,,,,,,,,,,,,,,,
continue,继续,verb,,,,,,,,,,,,,,,,,,,,,,
contributor,投稿者,noun,适用于 WordPress 默认用户角色,,,,,,,,,,,,,,,,,,,,,
contributor,参与者,noun,,,,,,,,,,,,,,,,,,,,,,
control,控制项,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
control,控制,verb,,,,,,,,,,,,,,,,,,,,,,
Cookie,Cookie,noun,适用于搜索引擎及浏览器相关内容,,,,,,,,,,,,,,,,,,,,,
Cookies,Cookie,noun,适用于搜索引擎及浏览器相关内容,,,,,,,,,,,,,,,,,,,,,
coordinate,座标,noun,,,,,,,,,,,,,,,,,,,,,,
Copenhagen,哥本哈根,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
copy,复制,verb,,,,,,,,,,,,,,,,,,,,,,
copy,复制,noun,,,,,,,,,,,,,,,,,,,,,,
Coral Harbour,珊瑚港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cordoba,科尔多瓦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Core,内核程序,noun,适用于说明 WordPress 核心程序,,,,,,,,,,,,,,,,,,,,,
Cornish,康沃尔语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
correlate,相互关联,verb,,,,,,,,,,,,,,,,,,,,,,
Corsican,科西嘉语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Costa Rica,哥斯达黎加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Costa Rican col&oacute;n,哥斯达黎加科隆,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
C?te d`Ivoire,科特迪瓦,noun,,,,,,,,,,,,,,,,,,,,,,
counter,计数器,noun,,,,,,,,,,,,,,,,,,,,,,
Country code top-level-domain,国家/地区代码顶级域名,noun,,,,,,,,,,,,,,,,,,,,,,
coupon code,优惠代码,noun,,,,,,,,,,,,,,,,,,,,,,
CPT,CPT,noun,CPT 通常是 Custom Post Type (自定义内容类型) 的缩写,,,,,,,,,,,,,,,,,,,,,
CPT,自定义文章类型,noun,CPT 通常是 Custom Post Type (自定义内容类型) 的缩写,,,,,,,,,,,,,,,,,,,,,
crawl,检索,noun,,,,,,,,,,,,,,,,,,,,,,
crawler,检索器,noun,,,,,,,,,,,,,,,,,,,,,,
create,创建,verb,,,,,,,,,,,,,,,,,,,,,,
Creative Commons,知识共享,noun,,,,,,,,,,,,,,,,,,,,,,
credentials,认证,noun,,,,,,,,,,,,,,,,,,,,,,
Cree,克里语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Creston,克雷斯顿,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Croatian,克罗地亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Croatian kuna,克罗地亚库纳,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
crop,裁剪,noun,,,,,,,,,,,,,,,,,,,,,,
cross site,跨网站,noun,,,,,,,,,,,,,,,,,,,,,,
cross-sell,交叉销售,verb,,,,,,,,,,,,,,,,,,,,,,
cross-selling,交叉销售,noun,,,,,,,,,,,,,,,,,,,,,,
cross-site,跨网站,noun,,,,,,,,,,,,,,,,,,,,,,
CSS,CSS,noun,CSS 是 Cascading Style Sheets (级联样式表) 的缩写,,,,,,,,,,,,,,,,,,,,,
CSV,CSV,noun,CSV 是 Comma Separated Values (逗点分隔值) 的缩写，文件格式的一种,,,,,,,,,,,,,,,,,,,,,
CTA,行动号召,noun,,,,,,,,,,,,,,,,,,,,,,
Cuban convertible peso,古巴可兑换比绍,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Cuban peso,古巴比绍,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Cuiaba,库亚巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Curacao,库拉索,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
current,当前,adjective,,,,,,,,,,,,,,,,,,,,,,
Currie,柯里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
custom,定制,adjective,,,,,,,,,,,,,,,,,,,,,,
custom color,自定义颜色,noun,,,,,,,,,,,,,,,,,,,,,,
custom field,自定义字段,noun,,,,,,,,,,,,,,,,,,,,,,
custom post type,自定义文章类型,noun,,,,,,,,,,,,,,,,,,,,,,
customer,客户,noun,,,,,,,,,,,,,,,,,,,,,,
customize,定制,verb,,,,,,,,,,,,,,,,,,,,,,
customizer,定制器,noun,,,,,,,,,,,,,,,,,,,,,,
Cyber Monday,网络星期一,noun,,,,,,,,,,,,,,,,,,,,,,
Czech,捷克语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Czech koruna,捷克克朗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Dacca,达卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dakar,达喀尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Damascus,大马士革,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Danish,丹麦语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Danish krone,丹麦克朗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Danmarkshavn,丹麦港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dar es Salaam,达累斯萨拉姆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
dark mode,深色模式,noun,,,,,,,,,,,,,,,,,,,,,,
Darwin,达尔文,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
dashboard,仪表盘,noun,,,,,,,,,,,,,,,,,,,,,,
dashboard widget,仪表盘小工具,noun,,,,,,,,,,,,,,,,,,,,,,
data,数据,noun,,,,,,,,,,,,,,,,,,,,,,
data erasure request,数据删除请求,noun,,,,,,,,,,,,,,,,,,,,,,
database,数据库,noun,,,,,,,,,,,,,,,,,,,,,,
database collation,数据库整理,noun,适用于数据库,,,,,,,,,,,,,,,,,,,,,
database host,数据库主机,noun,,,,,,,,,,,,,,,,,,,,,,
database name,数据库名称,noun,,,,,,,,,,,,,,,,,,,,,,
date format,日期格式,noun,,,,,,,,,,,,,,,,,,,,,,
Davis,戴维斯站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dawson,道森市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dawson Creek,道森克里克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
deactivate,停用,verb,,,,,,,,,,,,,,,,,,,,,,
Debian,Debian,noun,Linux 发行版名称,,,,,,,,,,,,,,,,,,,,,
debug,调试,verb,,,,,,,,,,,,,,,,,,,,,,
decentralize,去中心化,verb,,,,,,,,,,,,,,,,,,,,,,
decentralized,去中心化,adjective,,,,,,,,,,,,,,,,,,,,,,
decimal,小数,noun,,,,,,,,,,,,,,,,,,,,,,
decimal leading zero,以零开头小数,noun,,,,,,,,,,,,,,,,,,,,,,
declare,声明,verb,,,,,,,,,,,,,,,,,,,,,,
decode,解码,verb,,,,,,,,,,,,,,,,,,,,,,
decoder,解码器,noun,,,,,,,,,,,,,,,,,,,,,,
decompile,反编译,verb,,,,,,,,,,,,,,,,,,,,,,
deep,深层拷贝,noun,对来源项目进行深层复制，目标项目与来源项目为分别独立的项目，变更其中一个项目不会影响另一个项目。,,,,,,,,,,,,,,,,,,,,,
default,默认,adjective,,,,,,,,,,,,,,,,,,,,,,
default,默认值,noun,,,,,,,,,,,,,,,,,,,,,,
default theme,默认主题,noun,,,,,,,,,,,,,,,,,,,,,,
defer,延迟,verb,,,,,,,,,,,,,,,,,,,,,,
defer,顺延,verb,,,,,,,,,,,,,,,,,,,,,,
delete,删除,verb,,,,,,,,,,,,,,,,,,,,,,
Denver,丹佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
deploy,部署,verb,,,,,,,,,,,,,,,,,,,,,,
deployment,部署,noun,,,,,,,,,,,,,,,,,,,,,,
deprecated,已弃用,adjective,,,,,,,,,,,,,,,,,,,,,,
DES,递减,adjective,如果是排序方式的属性值，请保留原文,,,,,,,,,,,,,,,,,,,,,
descending,降幂,adjective,,,,,,,,,,,,,,,,,,,,,,
descending,递减,adjective,,,,,,,,,,,,,,,,,,,,,,
detail,详情,noun,,,,,,,,,,,,,,,,,,,,,,
details,详情,noun,,,,,,,,,,,,,,,,,,,,,,
Detroit,底特律,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
develop,开发,verb,,,,,,,,,,,,,,,,,,,,,,
developer,开发者,noun,,,,,,,,,,,,,,,,,,,,,,
development,开发,noun,,,,,,,,,,,,,,,,,,,,,,
development,开发工作,noun,,,,,,,,,,,,,,,,,,,,,,
device,设备,noun,,,,,,,,,,,,,,,,,,,,,,
Dhaka,达卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dhivehi,迪维希语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
dialog,对话,noun,,,,,,,,,,,,,,,,,,,,,,
dialog,对话框,noun,,,,,,,,,,,,,,,,,,,,,,
dialog box,对话框,noun,,,,,,,,,,,,,,,,,,,,,,
Dili,帝力,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
directive,指示词,noun,,,,,,,,,,,,,,,,,,,,,,
directory,目录,noun,,,,,,,,,,,,,,,,,,,,,,
disable,停用,verb,,,,,,,,,,,,,,,,,,,,,,
disassemble,反向编译,verb,,,,,,,,,,,,,,,,,,,,,,
disc,目录起点,noun,适用于形状,,,,,,,,,,,,,,,,,,,,,
discard,丢弃,verb,,,,,,,,,,,,,,,,,,,,,,
discount,折扣,noun,,,,,,,,,,,,,,,,,,,,,,
dismount,卸载,verb,适用于连接储存装置,,,,,,,,,,,,,,,,,,,,,
display,显示,verb,,,,,,,,,,,,,,,,,,,,,,
display,显示方式,noun,,,,,,,,,,,,,,,,,,,,,,
Divehi,迪维希语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
divider,分隔线,noun,,,,,,,,,,,,,,,,,,,,,,
Djibouti,吉布提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Djiboutian franc,吉布提法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
DNS,DNS,noun,DNS 是 Domain Name System (域名系统) 的缩写,,,,,,,,,,,,,,,,,,,,,
domain,域名,noun,,,,,,,,,,,,,,,,,,,,,,
domain,域名,noun,,,,,,,,,,,,,,,,,,,,,,
domain name,域名,noun,,,,,,,,,,,,,,,,,,,,,,
Domain Name System,域名系统,noun,,,,,,,,,,,,,,,,,,,,,,
Dominica,多米尼加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dominican peso,多米尼加比绍,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
donate,赞助,verb,,,,,,,,,,,,,,,,,,,,,,
donation,赞助,noun,,,,,,,,,,,,,,,,,,,,,,
Douala,杜阿拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
double click,双击,noun,,,,,,,,,,,,,,,,,,,,,,
double-click,双击,noun,,,,,,,,,,,,,,,,,,,,,,
down arrow key,向下键,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
download,下载,verb,,,,,,,,,,,,,,,,,,,,,,
downtime,停机时间,noun,,,,,,,,,,,,,,,,,,,,,,
draft,草稿,noun,,,,,,,,,,,,,,,,,,,,,,
drag,拖曳,noun,,,,,,,,,,,,,,,,,,,,,,
drag and drop,拖放,noun,,,,,,,,,,,,,,,,,,,,,,
dropin,强化插件,noun,,,,,,,,,,,,,,,,,,,,,,
drop-in,强化插件,noun,,,,,,,,,,,,,,,,,,,,,,
Dubai,迪拜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dublin,都柏林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
DumontDUrville,杜蒙·杜维尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dushanbe,杜尚别,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dutch,荷兰语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dutch (Belgium),荷兰语（比利时）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dutch (Formal),荷兰语（正式）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Dzongkha,宗卡语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
E.g.,例如,noun,,,,,,,,,,,,,,,,,,,,,,
Earthly Branch,地支,noun,,,,,,,,,,,,,,,,,,,,,,
East Caribbean dollar,东加勒比元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Easter,复活节岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
eBay,eBay,noun,,,,,,,,,,,,,,,,,,,,,,
eCommerce,电子商务,noun,,,,,,,,,,,,,,,,,,,,,,
edit,编辑,verb,,,,,,,,,,,,,,,,,,,,,,
editor,编辑,noun,适用于 WordPress 默认用户角色，同时也适用于其他状况,,,,,,,,,,,,,,,,,,,,,
editor,编辑,noun,,,,,,,,,,,,,,,,,,,,,,
editor style,编辑器样式,noun,,,,,,,,,,,,,,,,,,,,,,
Edmonton,埃德蒙顿,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
education,教育,noun,,,,,,,,,,,,,,,,,,,,,,
Efate,埃法特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Egyptian pound,埃及镑,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Eirunepe,埃鲁内佩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
El Aaiun,埃尔阿尤恩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
El Salvador,萨尔瓦多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
element,元素,noun,,,,,,,,,,,,,,,,,,,,,,
Emacs,Emacs,noun,纯文本编辑器名称。,,,,,,,,,,,,,,,,,,,,,
email,邮箱地址,noun,有时候开发者会将 Email Address 写为 Email。请注意，Email 该译为「电子邮件地址」时，就译为「电子邮件地址」,,,,,,,,,,,,,,,,,,,,,
email,电子邮件,noun,,,,,,,,,,,,,,,,,,,,,,
email address,邮箱地址,noun,,,,,,,,,,,,,,,,,,,,,,
embed block,嵌入内容区块,noun,适用于区块编辑器、全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
Emoji,Emoji 表情符号,noun,,,,,,,,,,,,,,,,,,,,,,
emoticon,表情符号,noun,,,,,,,,,,,,,,,,,,,,,,
empty string,空字符串,noun,,,,,,,,,,,,,,,,,,,,,,
empty value,空值,noun,,,,,,,,,,,,,,,,,,,,,,
enable,启用,verb,,,,,,,,,,,,,,,,,,,,,,
encode,编码,verb,,,,,,,,,,,,,,,,,,,,,,
encoder,编码器,noun,,,,,,,,,,,,,,,,,,,,,,
encrypt,加密,verb,,,,,,,,,,,,,,,,,,,,,,
encryption,加密,noun,,,,,,,,,,,,,,,,,,,,,,
encryption,加密方式,noun,,,,,,,,,,,,,,,,,,,,,,
Enderbury,恩德伯里岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
English,英语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (Australia),英语（澳大利亚）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (Canada),英语（加拿大）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (New Zealand),英语（新西兰）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (South Africa),英语（南非）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (UK),英语（英国）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
English (United States),美国英语）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
enlarge,放大,verb,,,,,,,,,,,,,,,,,,,,,,
Ensenada,恩塞纳达,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Enter,Enter 键,noun,键盘按键名称,,,,,,,,,,,,,,,,,,,,,
enter,输入,verb,,,,,,,,,,,,,,,,,,,,,,
enumerate,枚举,verb,,,,,,,,,,,,,,,,,,,,,,
enumeration,枚举,noun,,,,,,,,,,,,,,,,,,,,,,
Eritrean nakfa,厄立特里亚纳克法,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
error,错误,noun,,,,,,,,,,,,,,,,,,,,,,
error code,错误码,noun,,,,,,,,,,,,,,,,,,,,,,
error message,错误信息,noun,,,,,,,,,,,,,,,,,,,,,,
Esperanto,世界语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Estonian,爱沙尼亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Etc,其他,noun,,,,,,,,,,,,,,,,,,,,,,
Ethiopian birr,埃塞俄比亚比尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
